index,nombre,precio,precioanterior,preciounico,plazo,quincenas_24,marca,sku,href,nombrepromocion,categoria,fechadeconsulta
349,Liner Up & Down 3 Pares,0.0,0.0,79.0,24,2.0,18 FOREVER,3604752,https://www.coppel.com/bikini-lovest-estampada-pr-3604752,Anuncio: Hasta 30% de descuento en lencería. Pulsa aquí para comprar.,Lenceria,2022-06-22
353,Sala Esquinera Contemporánea Antara,11999.0,13199.0,0.0,24,438.0,ARTABAN,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
357,Sofá Laura Contemporáneo,0.0,0.0,7299.0,24,598.0,KOSSEL,4195953,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sofa-alyssa-contemporaneo-pm-4195953,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
361,Sala Esquinera Amanda Contemporánea,13499.0,13899.0,0.0,24,449.0,REY,4195873,https://www.coppel.com/salas-hogar/loveseat-alyssa-contemporaneo-pm-4195873,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
365,Sala Excelencia Contemporánea 3 Piezas,12639.0,13299.0,0.0,24,438.0,VICTORIA,4467263,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sala-esquinera-house-contemporanea-2-piezas-pm-4467263,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
369,Sofá Ekko Contemporáneo,6299.0,7099.0,0.0,24,598.0,EMO,4195953,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sofa-alyssa-contemporaneo-pm-4195953,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
373,Loveseat Gleen Contemporáneo,0.0,0.0,6199.0,24,449.0,KOSSEL,4195873,https://www.coppel.com/salas-hogar/loveseat-alyssa-contemporaneo-pm-4195873,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
377,Sala Esquinera Contemporánea Gibraltar 2 Piezas,0.0,0.0,7499.0,24,305.0,HERWONG,4012973,https://www.coppel.com/hogar/muebles/salas/salas-hogar/loveseat-linn-contemporaneo-pm-4012973,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
381,Loveseat Last Contemporáneo,0.0,0.0,6099.0,24,401.0,KOSSEL,4543313,https://www.coppel.com/hogar/muebles/salas/salas-hogar/sofa-montevideo-contemporaneo-1-pieza-pm-4543313,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
385,Sillón Linn Contemporáneo,0.0,0.0,4099.0,24,305.0,KOSSEL,4012973,https://www.coppel.com/hogar/muebles/salas/salas-hogar/loveseat-linn-contemporaneo-pm-4012973,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
389,Smart Tv 55 Samsung 4k Hdr Reacondicionado,0.0,0.0,14999.0,24,894.0,Samsung,7101071,https://www.coppel.com/smart-tv-55-samsung-4k-hdr-reacondicionado-mkp-47101071,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
393,Sillón Argelia Clásico 1 Pieza,0.0,0.0,3099.0,24,305.0,VICTORIA,4012973,https://www.coppel.com/hogar/muebles/salas/salas-hogar/loveseat-linn-contemporaneo-pm-4012973,Anuncio: Hasta 30% de descuento en salas. Pulsa aquí para estrenar la tuya.,Hogar,2022-06-22
